product_id,popular_score,behavior_count
23084,28.778758,9
23202,22.135532,8
23328,21.877237,6
23295,20.796434,5
23203,20.610297,10
23581,19.457383,5
85099B,19.417374,29
23169,17.037965,4
23344,16.93451,5
23100,16.600624,6
22457,16.479893,15
21914,16.257471,11
23570,15.494165,4
21931,15.475198,12
22952,15.376395,9
22809,14.494207,6
23552,14.268042,3
21754,14.224932,18
22866,14.123526,5
22086,13.977984,14
21790,13.774602,11
23343,13.437549,4
22578,13.298119,8
23489,13.133453,3
23582,13.110184,3
22993,13.029075,6
22111,12.794611,12
22386,12.778823,11
22467,12.702791,8
23571,12.477994,3
22835,12.353714,7
23192,12.341811,3
21810,11.964186,3
21930,11.911993,8
23201,11.787889,8
85099F,11.655437,12
22960,11.612909,5
21169,11.604309,6
21791,11.602271,11
84947,11.449995,4
22726,11.418384,5
85099C,11.314159,15
23301,11.271078,5
22138,10.877087,9
22411,10.853988,13
23182,10.725291,3
22400,10.583139,4
35970,10.545207,4
22728,10.540045,4
22577,10.418609,8
21819,10.318899,4
23480,10.300566,3
84945,10.131354,8
22196,10.071095,4
22633,10.02819,8
22642,10.006797,3
22956,10.0,2
21181,9.949257,9
84347,9.902497,9
23101,9.840423,4
22964,9.828022,6
23241,9.827636,2
22555,9.763784,7
21787,9.743933,3
23569,9.737055,3
22663,9.728642,5
85061W,9.686139,4
22082,9.617358,6
82552,9.602568,7
20727,9.571516,16
20982,9.536881,7
23374,9.49399,3
22909,9.493011,5
23498,9.440406,2
23497,9.440406,2
21263,9.440406,2
23535,9.440406,2
20718,9.440348,10
21928,9.35778,9
22141,9.304667,4
23293,9.246487,4
21933,9.139554,6
23214,9.031354,2
22620,8.984334,8
22941,8.906872,5
21175,8.857905,5
23389,8.842645,4
23390,8.842645,4
23494,8.697366,2
22942,8.693047,2
16237,8.612398,6
22385,8.555156,7
23485,8.53563,2
82583,8.505088,6
23296,8.501219,3
23294,8.501219,3
22356,8.470445,14
23271,8.383288,3
23080,8.282953,2
21932,8.241899,5
21326,8.183906,4
21916,8.183713,8
23313,8.133453,2
22424,7.99037,6
85048,7.935009,3
23396,7.875981,2
21756,7.856577,6
23504,7.72872,2
22847,7.721528,4
22727,7.718985,5
21210,7.689281,10
21591,7.678432,5
22816,7.615425,3
20713,7.546199,8
22037,7.404247,3
21030,7.394733,2
21899,7.39145,5
21900,7.39145,5
21901,7.39145,5
21731,7.377876,9
23356,7.28324,2
20724,7.275958,13
22274,7.221863,2
22904,7.12581,4
23252,7.122865,2
22720,7.041468,7
21770,7.039,3
22488,6.95697,7
23215,6.891276,2
M,6.845343,7
20728,6.807571,10
84030E,6.789533,2
22355,6.735801,8
21070,6.703899,3
22144,6.693772,3
22585,6.692825,7
23505,6.667012,2
82582,6.648564,5
22406,6.64108,4
84832,6.635035,3
23388,6.632316,3
23395,6.63155,2
20679,6.625413,4
22946,6.6205,3
84032B,6.61936,5
85178,6.614058,4
22697,6.544129,5
21015,6.429681,2
22381,6.403139,8
21174,6.352475,3
82600,6.350277,7
23275,6.313021,2
22114,6.241761,7
23108,6.104841,3
23194,6.097906,2
23274,6.061583,2
23219,6.057519,2
22810,6.003836,5
22983,5.988145,2
22382,5.973327,13
22992,5.948067,3
22673,5.897655,2
47566,5.890094,16
23243,5.832731,5
22113,5.796459,3
84031B,5.796434,2
23144,5.771272,4
21912,5.746337,3
35471D,5.745984,3
22653,5.710676,2
22632,5.692687,7
22910,5.678134,9
22398,5.597047,6
23256,5.531502,3
23254,5.531502,3
20682,5.498535,4
23426,5.479162,2
22139,5.447474,9
23096,5.447227,2
21172,5.415981,8
84978,5.326466,6
21817,5.318796,3
23397,5.313599,2
22694,5.277871,3
23013,5.258096,2
22419,5.232147,6
22730,5.229535,2
22191,5.224125,5
23089,5.181246,2
23300,5.181246,2
23168,5.181246,2
21592,5.110748,4
21714,5.109654,2
21713,5.109654,2
85053,5.096365,2
22494,5.076963,3
22607,5.03171,7
84375,5.031624,4
22605,5.030918,4
21494,5.026275,3
22441,5.024964,4
22474,5.024126,2
