customer_id,last_order_time,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,segment_name,cart,purchase,view,favorite,unique_product_count,conversion_rate,cluster_id,cluster_name
198270,2015-09-16 19:33:55.166,2.0,39.0,41.0,5.0,5.0,5.0,15.0,high_value,44,41,287,0,274,0.14285714285714285,4,growth_potential
247235,2015-09-14 19:49:42.276,4.0,47.0,48.0,5.0,5.0,5.0,15.0,high_value,50,48,547,0,486,0.08775137111517367,4,growth_potential
518659,2015-09-07 23:14:35.467,11.0,9.0,15.0,5.0,5.0,5.0,15.0,high_value,30,15,621,0,409,0.024154589371980676,4,growth_potential
645525,2015-09-07 00:00:28.216,12.0,40.0,45.0,5.0,5.0,5.0,15.0,high_value,47,45,480,0,421,0.09375,4,growth_potential
994820,2015-09-14 02:54:16.527,4.0,29.0,29.0,5.0,5.0,5.0,15.0,high_value,42,29,565,0,463,0.05132743362831858,4,growth_potential
1297062,2015-08-03 21:51:53.721,46.0,49.0,53.0,4.0,5.0,5.0,14.0,high_value,69,53,629,0,579,0.08426073131955485,4,growth_potential
705542,2015-08-05 18:54:36.577,44.0,26.0,30.0,4.0,5.0,5.0,14.0,high_value,42,30,267,0,278,0.11235955056179775,4,growth_potential
757355,2015-07-24 15:42:57.145,56.0,44.0,47.0,4.0,5.0,5.0,14.0,high_value,52,47,418,0,396,0.11244019138755981,4,growth_potential
861299,2015-08-19 02:23:13.383,31.0,61.0,71.0,4.0,5.0,5.0,14.0,high_value,87,71,625,0,591,0.1136,4,growth_potential
890980,2015-07-28 23:02:41.701,52.0,45.0,47.0,4.0,5.0,5.0,14.0,high_value,97,47,277,0,279,0.16967509025270758,4,growth_potential
895999,2015-09-17 18:17:22.926,1.0,9.0,9.0,5.0,5.0,4.0,14.0,high_value,20,9,949,0,802,0.009483667017913594,4,growth_potential
138131,2015-07-02 15:55:18.473,78.0,60.0,66.0,3.0,5.0,5.0,13.0,ordinary,73,66,496,0,473,0.13306451612903225,4,growth_potential
316850,2015-08-24 16:38:35.429,25.0,7.0,7.0,5.0,4.0,4.0,13.0,high_value,17,7,639,0,481,0.010954616588419406,4,growth_potential
371606,2015-07-19 19:31:54.774,61.0,38.0,42.0,3.0,5.0,5.0,13.0,ordinary,45,42,830,0,719,0.05060240963855422,4,growth_potential
684514,2015-07-06 19:10:30.658,74.0,66.0,70.0,3.0,5.0,5.0,13.0,ordinary,80,70,698,0,615,0.10028653295128939,4,growth_potential
765630,2015-06-25 02:40:29.050,86.0,11.0,17.0,3.0,5.0,5.0,13.0,ordinary,23,17,452,0,387,0.03761061946902655,4,growth_potential
836635,2015-07-04 18:03:45.689,76.0,29.0,30.0,3.0,5.0,5.0,13.0,ordinary,58,30,683,0,554,0.043923865300146414,4,growth_potential
1161163,2015-06-18 18:05:07.000,92.0,49.0,51.0,2.0,5.0,5.0,12.0,sleeping,51,51,595,0,516,0.08571428571428572,4,growth_potential
163561,2015-06-03 16:27:19.131,107.0,29.0,31.0,2.0,5.0,5.0,12.0,sleeping,52,31,854,0,698,0.03629976580796253,4,growth_potential
286616,2015-06-06 19:46:50.602,104.0,26.0,29.0,2.0,5.0,5.0,12.0,sleeping,49,29,825,0,642,0.03515151515151515,4,growth_potential
350566,2015-06-02 01:29:27.481,109.0,41.0,46.0,2.0,5.0,5.0,12.0,sleeping,62,46,538,0,479,0.08550185873605948,4,growth_potential
76757,2015-06-24 00:08:25.775,87.0,68.0,77.0,2.0,5.0,5.0,12.0,sleeping,117,77,523,0,512,0.14722753346080306,4,growth_potential
53842,2015-05-21 01:31:18.453,121.0,27.0,29.0,1.0,5.0,5.0,11.0,sleeping,24,29,281,0,273,0.10320284697508897,4,growth_potential
809822,2015-05-27 00:53:42.827,115.0,27.0,28.0,1.0,5.0,5.0,11.0,sleeping,29,28,292,0,266,0.0958904109589041,4,growth_potential
892013,,0.0,0.0,0.0,,,,0.0,,1,0,798,0,733,0.0,4,growth_potential
1150086,2015-09-14 22:52:16.478,4.0,209.0,224.0,5.0,5.0,5.0,15.0,high_value,277,224,2484,0,2078,0.09017713365539452,2,high_value
152963,2015-09-18 02:43:12.017,1.0,121.0,134.0,5.0,5.0,5.0,15.0,high_value,141,134,928,0,884,0.14439655172413793,2,high_value
530559,2015-09-12 23:16:45.863,6.0,101.0,113.0,5.0,5.0,5.0,15.0,high_value,157,113,1384,0,1180,0.08164739884393063,2,high_value
171718,2015-09-11 15:04:05.760,7.0,9.0,13.0,5.0,5.0,5.0,15.0,high_value,18,13,53,0,58,0.24528301886792453,3,ordinary
17676,2015-08-21 18:28:39.794,28.0,15.0,15.0,5.0,5.0,5.0,15.0,high_value,22,15,67,0,78,0.22388059701492538,3,ordinary
303381,2015-08-26 17:46:02.063,23.0,17.0,20.0,5.0,5.0,5.0,15.0,high_value,24,20,95,0,106,0.21052631578947367,3,ordinary
569539,2015-09-18 00:21:24.439,1.0,22.0,30.0,5.0,5.0,5.0,15.0,high_value,39,30,86,0,117,0.3488372093023256,3,ordinary
899857,2015-09-10 17:21:53.597,8.0,22.0,28.0,5.0,5.0,5.0,15.0,high_value,45,28,133,0,124,0.21052631578947367,3,ordinary
1042112,2015-08-20 18:03:29.416,29.0,5.0,10.0,5.0,4.0,5.0,14.0,high_value,6,10,17,0,21,0.5882352941176471,3,ordinary
1385073,2015-08-12 17:10:20.472,37.0,29.0,36.0,4.0,5.0,5.0,14.0,high_value,42,36,117,0,135,0.3076923076923077,3,ordinary
1352044,2015-08-28 23:15:39.412,21.0,5.0,6.0,5.0,4.0,4.0,13.0,high_value,5,6,10,0,14,0.6,3,ordinary
1365706,2015-08-24 18:39:47.794,25.0,4.0,5.0,5.0,4.0,4.0,13.0,high_value,7,5,19,0,21,0.2631578947368421,3,ordinary
48820,2015-07-23 02:20:16.808,58.0,4.0,11.0,4.0,4.0,5.0,13.0,high_value,21,11,33,0,31,0.3333333333333333,3,ordinary
686012,2015-08-16 15:53:32.259,33.0,9.0,9.0,4.0,5.0,4.0,13.0,high_value,15,9,34,0,40,0.2647058823529412,3,ordinary
896347,2015-08-24 13:51:33.804,25.0,6.0,9.0,5.0,4.0,4.0,13.0,high_value,5,9,39,0,35,0.23076923076923078,3,ordinary
1363612,2015-09-10 15:25:32.514,8.0,3.0,4.0,5.0,4.0,3.0,12.0,ordinary,4,4,14,0,16,0.2857142857142857,3,ordinary
177211,2015-09-01 05:01:43.575,17.0,2.0,5.0,5.0,3.0,4.0,12.0,key_development,3,5,15,0,10,0.3333333333333333,3,ordinary
438441,2015-06-04 23:48:19.004,106.0,17.0,24.0,2.0,5.0,5.0,12.0,sleeping,14,24,87,0,89,0.27586206896551724,3,ordinary
729150,2015-09-16 21:26:24.073,2.0,2.0,7.0,5.0,3.0,4.0,12.0,key_development,7,7,26,0,33,0.2692307692307692,3,ordinary
1167457,2015-06-20 14:37:42.180,90.0,8.0,15.0,2.0,4.0,5.0,11.0,sleeping,11,15,34,0,24,0.4411764705882353,3,ordinary
1190855,2015-06-15 06:57:56.630,95.0,3.0,10.0,2.0,4.0,5.0,11.0,sleeping,6,10,18,0,22,0.5555555555555556,3,ordinary
1212999,2015-06-08 17:25:06.396,102.0,3.0,11.0,2.0,4.0,5.0,11.0,sleeping,12,11,11,0,20,1.0,3,ordinary
1179005,2015-07-27 04:12:25.970,53.0,1.0,7.0,4.0,2.0,4.0,10.0,key_development,7,7,19,0,21,0.3684210526315789,3,ordinary
723092,2015-06-02 21:39:50.513,108.0,3.0,6.0,2.0,4.0,4.0,10.0,sleeping,5,6,15,0,16,0.4,3,ordinary
761482,2015-05-14 18:05:25.116,127.0,3.0,28.0,1.0,4.0,5.0,10.0,sleeping,30,28,22,0,41,1.2727272727272727,3,ordinary
1352334,2015-05-17 21:19:09.509,124.0,4.0,7.0,1.0,4.0,4.0,9.0,sleeping,9,7,18,0,15,0.3888888888888889,3,ordinary
331925,2015-08-18 16:22:21.023,31.0,1.0,3.0,4.0,2.0,3.0,9.0,potential,8,3,11,0,15,0.2727272727272727,3,ordinary
536804,2015-07-07 16:19:03.490,73.0,2.0,4.0,3.0,3.0,3.0,9.0,ordinary,6,4,12,0,21,0.3333333333333333,3,ordinary
109357,2015-05-29 23:56:29.791,112.0,2.0,9.0,1.0,3.0,4.0,8.0,sleeping,16,9,17,0,21,0.5294117647058824,3,ordinary
1161968,2015-05-09 16:02:28.916,132.0,3.0,3.0,1.0,4.0,3.0,8.0,sleeping,22,3,6,0,25,0.5,3,ordinary
822310,2015-06-11 20:35:46.209,99.0,1.0,6.0,2.0,2.0,4.0,8.0,churn_risk,6,6,10,0,12,0.6,3,ordinary
478054,2015-05-27 21:53:42.235,114.0,1.0,5.0,1.0,2.0,4.0,7.0,churn_risk,4,5,8,0,10,0.625,3,ordinary
763257,2015-05-28 03:42:17.418,113.0,1.0,5.0,1.0,2.0,4.0,7.0,churn_risk,15,5,14,0,26,0.35714285714285715,3,ordinary
1126569,2015-09-14 19:38:57.598,4.0,15.0,15.0,5.0,5.0,5.0,15.0,high_value,19,15,332,0,312,0.045180722891566265,1,sleeping_or_churn
1165148,2015-09-17 02:12:26.060,2.0,14.0,14.0,5.0,5.0,5.0,15.0,high_value,10,14,318,0,289,0.0440251572327044,1,sleeping_or_churn
173863,2015-09-15 16:44:24.346,3.0,15.0,16.0,5.0,5.0,5.0,15.0,high_value,8,16,289,0,257,0.05536332179930796,1,sleeping_or_churn
1293358,2015-08-04 17:03:45.834,45.0,17.0,17.0,4.0,5.0,5.0,14.0,high_value,33,17,247,0,231,0.06882591093117409,1,sleeping_or_churn
218648,2015-08-13 17:26:29.849,36.0,10.0,10.0,4.0,5.0,5.0,14.0,high_value,8,10,87,0,76,0.11494252873563218,1,sleeping_or_churn
477826,2015-07-27 00:16:44.844,54.0,9.0,10.0,4.0,5.0,5.0,14.0,high_value,21,10,239,0,217,0.04184100418410042,1,sleeping_or_churn
797409,2015-08-18 01:42:31.521,32.0,14.0,15.0,4.0,5.0,5.0,14.0,high_value,14,15,89,0,88,0.16853932584269662,1,sleeping_or_churn
1075423,2015-06-27 23:43:30.599,83.0,12.0,14.0,3.0,5.0,5.0,13.0,ordinary,18,14,142,0,149,0.09859154929577464,1,sleeping_or_churn
1108631,2015-08-13 16:56:58.122,36.0,9.0,9.0,4.0,5.0,4.0,13.0,high_value,13,9,175,0,174,0.05142857142857143,1,sleeping_or_churn
1336835,2015-09-14 19:43:04.109,4.0,4.0,6.0,5.0,4.0,4.0,13.0,high_value,36,6,258,0,218,0.023255813953488372,1,sleeping_or_churn
248679,2015-07-02 21:21:25.631,78.0,12.0,12.0,3.0,5.0,5.0,13.0,ordinary,12,12,97,0,94,0.12371134020618557,1,sleeping_or_churn
42552,2015-09-07 04:08:50.345,11.0,3.0,5.0,5.0,4.0,4.0,13.0,high_value,0,5,53,0,48,0.09433962264150944,1,sleeping_or_churn
519839,2015-07-12 02:51:42.534,68.0,17.0,20.0,3.0,5.0,5.0,13.0,ordinary,20,20,241,0,216,0.08298755186721991,1,sleeping_or_churn
548772,2015-06-26 15:13:07.093,84.0,17.0,19.0,3.0,5.0,5.0,13.0,ordinary,18,19,271,0,247,0.07011070110701106,1,sleeping_or_churn
686854,2015-08-27 22:56:51.241,22.0,4.0,7.0,5.0,4.0,4.0,13.0,high_value,11,7,51,0,49,0.13725490196078433,1,sleeping_or_churn
863219,2015-07-14 19:45:12.773,66.0,11.0,11.0,3.0,5.0,5.0,13.0,ordinary,15,11,226,0,203,0.048672566371681415,1,sleeping_or_churn
952246,2015-07-14 20:51:58.170,66.0,17.0,18.0,3.0,5.0,5.0,13.0,ordinary,34,18,182,0,178,0.0989010989010989,1,sleeping_or_churn
974226,2015-07-17 02:16:19.013,64.0,11.0,23.0,3.0,5.0,5.0,13.0,ordinary,24,23,226,0,210,0.10176991150442478,1,sleeping_or_churn
996879,2015-07-01 22:53:44.452,79.0,10.0,12.0,3.0,5.0,5.0,13.0,ordinary,14,12,109,0,105,0.11009174311926606,1,sleeping_or_churn
101175,2015-08-17 19:00:16.861,32.0,4.0,7.0,4.0,4.0,4.0,12.0,high_value,8,7,54,0,39,0.12962962962962962,1,sleeping_or_churn
1065255,2015-06-17 16:17:01.389,93.0,14.0,14.0,2.0,5.0,5.0,12.0,sleeping,19,14,121,0,116,0.11570247933884298,1,sleeping_or_churn
1076366,2015-07-26 07:38:46.727,54.0,4.0,7.0,4.0,4.0,4.0,12.0,high_value,4,7,46,0,36,0.15217391304347827,1,sleeping_or_churn
1093035,2015-06-10 21:44:52.154,100.0,20.0,22.0,2.0,5.0,5.0,12.0,sleeping,26,22,176,0,171,0.125,1,sleeping_or_churn
1122870,2015-09-11 19:00:14.951,7.0,3.0,3.0,5.0,4.0,3.0,12.0,ordinary,4,3,26,0,22,0.11538461538461539,1,sleeping_or_churn
1134975,2015-07-28 00:45:40.868,53.0,8.0,8.0,4.0,4.0,4.0,12.0,high_value,32,8,103,0,87,0.07766990291262135,1,sleeping_or_churn
1143383,2015-06-14 19:51:08.953,96.0,22.0,23.0,2.0,5.0,5.0,12.0,sleeping,26,23,232,0,218,0.09913793103448276,1,sleeping_or_churn
1178073,2015-08-08 20:36:16.129,41.0,4.0,5.0,4.0,4.0,4.0,12.0,high_value,6,5,28,0,28,0.17857142857142858,1,sleeping_or_churn
1197343,2015-08-13 19:37:26.012,36.0,3.0,7.0,4.0,4.0,4.0,12.0,high_value,9,7,32,0,38,0.21875,1,sleeping_or_churn
1210136,2015-08-31 21:21:52.559,18.0,3.0,3.0,5.0,4.0,3.0,12.0,ordinary,8,3,18,0,19,0.16666666666666666,1,sleeping_or_churn
1313381,2015-09-01 22:23:34.081,17.0,3.0,3.0,5.0,4.0,3.0,12.0,ordinary,1,3,200,0,136,0.015,1,sleeping_or_churn
1376763,2015-07-23 01:56:58.559,58.0,4.0,5.0,4.0,4.0,4.0,12.0,high_value,6,5,125,0,109,0.04,1,sleeping_or_churn
1403769,2015-08-10 23:09:43.993,39.0,6.0,6.0,4.0,4.0,4.0,12.0,high_value,9,6,153,0,120,0.0392156862745098,1,sleeping_or_churn
174972,2015-07-27 09:19:21.293,53.0,6.0,7.0,4.0,4.0,4.0,12.0,high_value,8,7,73,0,29,0.0958904109589041,1,sleeping_or_churn
175801,2015-07-24 21:18:25.840,56.0,5.0,6.0,4.0,4.0,4.0,12.0,high_value,7,6,41,0,41,0.14634146341463414,1,sleeping_or_churn
198153,2015-09-03 22:56:50.110,15.0,4.0,4.0,5.0,4.0,3.0,12.0,ordinary,11,4,186,0,159,0.021505376344086023,1,sleeping_or_churn
371604,2015-06-18 00:31:00.003,93.0,19.0,19.0,2.0,5.0,5.0,12.0,sleeping,22,19,251,0,234,0.07569721115537849,1,sleeping_or_churn
404403,2015-06-01 19:34:43.751,109.0,13.0,16.0,2.0,5.0,5.0,12.0,sleeping,29,16,190,0,185,0.08421052631578947,1,sleeping_or_churn
416496,2015-07-21 18:06:31.353,59.0,5.0,5.0,4.0,4.0,4.0,12.0,high_value,77,5,132,0,80,0.03787878787878788,1,sleeping_or_churn
57905,2015-06-03 17:53:27.678,107.0,13.0,13.0,2.0,5.0,5.0,12.0,sleeping,15,13,248,0,214,0.05241935483870968,1,sleeping_or_churn
643768,2015-09-04 21:52:53.871,14.0,3.0,3.0,5.0,4.0,3.0,12.0,ordinary,8,3,24,0,24,0.125,1,sleeping_or_churn
724618,2015-09-11 18:59:09.136,7.0,3.0,3.0,5.0,4.0,3.0,12.0,ordinary,1,3,26,0,23,0.11538461538461539,1,sleeping_or_churn
748040,2015-06-13 00:03:10.869,98.0,10.0,11.0,2.0,5.0,5.0,12.0,sleeping,15,11,145,0,139,0.07586206896551724,1,sleeping_or_churn
